,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
358,New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,"December 18, 2009","August 23, 2012"
359,Citizens State Bank,New Baltimore,MI,1006,No Acquirer,"December 18, 2009","March 21, 2014"
360,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,"December 18, 2009","November 5, 2012"
361,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009","March 21, 2014"
362,SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009","July 19, 2016"
363,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009","October 20, 2016"
364,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009","March 21, 2014"
365,Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009","March 21, 2014"
366,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009","August 23, 2012"
367,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009","March 21, 2014"
368,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009","March 21, 2014"
369,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009","October 17, 2015"
370,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009","March 21, 2014"
371,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009","March 21, 2014"
372,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009","August 22, 2012"
373,Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009","March 21, 2014"
374,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009","March 21, 2014"
375,United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009","November 5, 2012"
376,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009","August 22, 2012"
377,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009","August 22, 2012"
378,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009","August 22, 2012"
379,United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009","March 21, 2014"
380,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
